node_type_id model_name model_type ei model_template morphology model_processing
208 472306460_perisomatic biophysical i nml:Cell_472306460.cell.nml Scnn1a-Tg2-Cre;Ai14-176962.05.01.01_495335447_m aibs_perisomatic
209 473862496_perisomatic biophysical i nml:Cell_473862496.cell.nml Nr5a1-Cre;Ai14-177333.03.01.01_491771090_m aibs_perisomatic
210 472451419_perisomatic biophysical i nml:Cell_472451419.cell.nml Nr5a1-Cre;Ai14-177334.05.01.01_491459171_m aibs_perisomatic
211 480630344_perisomatic biophysical i nml:Cell_480630344.cell.nml Nr5a1-Cre;Ai14-177334.05.02.01_527109106_m aibs_perisomatic
212 472363762_perisomatic biophysical i nml:Cell_472363762.cell.nml Scnn1a-Tg3-Cre;Ai14-177300.01.02.01_491771068_m aibs_perisomatic
213 478513407_perisomatic biophysical i nml:Cell_478513407.cell.nml Pvalb-IRES-Cre;Ai14-177452.03.02.01_491119336_m aibs_perisomatic
214 472447460_perisomatic biophysical i nml:Cell_472447460.cell.nml Gad2-IRES-Cre;Ai14-177637.02.02.01_491771124_m aibs_perisomatic
215 480633088_perisomatic biophysical i nml:Cell_480633088.cell.nml Nr5a1-Cre;Ai14-178521.04.02.01_492100683_m aibs_perisomatic
216 472421285_perisomatic biophysical i nml:Cell_472421285.cell.nml Htr3a-Cre_491120333_m aibs_perisomatic
217 472450023_perisomatic biophysical i nml:Cell_472450023.cell.nml Sst-IRES-Cre;Ai14-165865.03.01.01_491119181_m aibs_perisomatic
218 472299363_perisomatic biophysical i nml:Cell_472299363.cell.nml Sst-IRES-Cre;Ai14-165865.05.02.01_491119537_m aibs_perisomatic
219 478513461_perisomatic biophysical i nml:Cell_478513461.cell.nml Sst-IRES-Cre;Ai14-179870.04.01.01_491120344_m aibs_perisomatic
220 473871773_perisomatic biophysical i nml:Cell_473871773.cell.nml Scnn1a-Tg3-Cre;Ai14-177297.05.02.01_495335458_m aibs_perisomatic
221 482934212_perisomatic biophysical i nml:Cell_482934212.cell.nml Scnn1a-Tg3-Cre;Ai14-177297.06.01.01_491120155_m aibs_perisomatic
222 480631286_perisomatic biophysical i nml:Cell_480631286.cell.nml Pvalb-IRES-Cre;Ai14-177452.03.01.01_491120251_m aibs_perisomatic
223 478513187_perisomatic biophysical i nml:Cell_478513187.cell.nml Htr3a-Cre_491120305_m aibs_perisomatic
224 473465774_perisomatic biophysical i nml:Cell_473465774.cell.nml Pvalb-IRES-Cre;Ai14-172096.04.02.01_491119732_m aibs_perisomatic
225 478513437_perisomatic biophysical i nml:Cell_478513437.cell.nml Pvalb-IRES-Cre;Ai14-180633.05.01.01_491119234_m aibs_perisomatic
226 478513415_perisomatic biophysical i nml:Cell_478513415.cell.nml Pvalb-IRES-Cre;Ai14-180633.04.01.01_491771159_m aibs_perisomatic
227 478513441_perisomatic biophysical i nml:Cell_478513441.cell.nml Pvalb-IRES-Cre;Ai14-180634.04.01.01_495335480_m aibs_perisomatic
228 480624414_perisomatic biophysical i nml:Cell_480624414.cell.nml Rbp4-Cre_495335491_m aibs_perisomatic
229 476630516_perisomatic biophysical i nml:Cell_476630516.cell.nml Rorb-IRES2-Cre-D;Ai14-181710.05.02.01_491771275_m aibs_perisomatic
230 476637699_perisomatic biophysical i nml:Cell_476637699.cell.nml Sst-IRES-Cre;Ai14-182533.03.01.01_491770708_m aibs_perisomatic
231 476637796_perisomatic biophysical i nml:Cell_476637796.cell.nml Rorb-IRES2-Cre-D;Ai14-181715.04.01.01_491392833_m aibs_perisomatic
232 476679102_perisomatic biophysical i nml:Cell_476679102.cell.nml Htr3a-Cre_492100793_m aibs_perisomatic
233 477313251_perisomatic biophysical i nml:Cell_477313251.cell.nml Htr3a-Cre_491119305_m aibs_perisomatic
234 477494382_perisomatic biophysical i nml:Cell_477494382.cell.nml Htr3a-Cre_491120373_m aibs_perisomatic
235 477510918_perisomatic biophysical i nml:Cell_477510918.cell.nml Sst-IRES-Cre;Ai14-183332.05.01.01_491771290_m aibs_perisomatic
236 477510985_perisomatic biophysical i nml:Cell_477510985.cell.nml Sst-IRES-Cre;Ai14-183332.06.02.01_495889919_m aibs_perisomatic
237 478045081_perisomatic biophysical i nml:Cell_478045081.cell.nml Htr3a-Cre_492100857_m aibs_perisomatic
238 478045202_perisomatic biophysical i nml:Cell_478045202.cell.nml Htr3a-Cre_491119960_m aibs_perisomatic
239 478045226_perisomatic biophysical i nml:Cell_478045226.cell.nml Htr3a-Cre_491119938_m aibs_perisomatic
240 478045347_perisomatic biophysical i nml:Cell_478045347.cell.nml Htr3a-Cre_492413499_m aibs_perisomatic
241 478809612_perisomatic biophysical i nml:Cell_478809612.cell.nml Pvalb-IRES-Cre;Ai14-187029.03.02.01_491119916_m aibs_perisomatic
242 478047588_perisomatic biophysical i nml:Cell_478047588.cell.nml Rorb-IRES2-Cre-D;Ai14-187416.05.01.01_491796267_m aibs_perisomatic
243 477838913_perisomatic biophysical i nml:Cell_477838913.cell.nml Sst-IRES-Cre;Ai14-187427.04.01.01_491119894_m aibs_perisomatic
244 480361288_perisomatic biophysical i nml:Cell_480361288.cell.nml Scnn1a-Tg3-Cre;Ai14-187852.04.02.01_484775243_m aibs_perisomatic
245 477876583_perisomatic biophysical i nml:Cell_477876583.cell.nml Nr5a1-Cre;Ai14-187780.03.02.01_491253858_m aibs_perisomatic
246 477878284_perisomatic biophysical i nml:Cell_477878284.cell.nml Sst-IRES-Cre;Ai14-188740.03.02.01_491119369_m aibs_perisomatic
247 478809991_perisomatic biophysical i nml:Cell_478809991.cell.nml Slc17a6-IRES-Cre;Ai14-190263.04.01.01_491392956_m aibs_perisomatic
248 477880244_perisomatic biophysical i nml:Cell_477880244.cell.nml Slc17a6-IRES-Cre;Ai14-190263.06.01.01_491771398_m aibs_perisomatic
249 479234441_perisomatic biophysical i nml:Cell_479234441.cell.nml Pvalb-IRES-Cre;Ai14-191322.04.02.01_491119269_m aibs_perisomatic
250 479234530_perisomatic biophysical i nml:Cell_479234530.cell.nml Htr3a-Cre_491119743_m aibs_perisomatic
251 479234506_perisomatic biophysical i nml:Cell_479234506.cell.nml Htr3a-Cre_491771409_m aibs_perisomatic
252 479234670_perisomatic biophysical i nml:Cell_479234670.cell.nml Sst-IRES-Cre;Ai14-192340.03.01.01_491119721_m aibs_perisomatic
253 479427369_perisomatic biophysical i nml:Cell_479427369.cell.nml Rorb-IRES2-Cre-D;Ai14-192794.05.01.01_492413653_m aibs_perisomatic
254 479427516_perisomatic biophysical i nml:Cell_479427516.cell.nml Rorb-IRES2-Cre-D;Ai14-194322.05.02.01_492413664_m aibs_perisomatic
255 479694384_perisomatic biophysical i nml:Cell_479694384.cell.nml Pvalb-IRES-Cre;Ai14-195045.05.02.01_491119688_m aibs_perisomatic
256 480051220_perisomatic biophysical i nml:Cell_480051220.cell.nml Rorb-IRES2-Cre-D;Ai14-194017.03.01.01_491770945_m aibs_perisomatic
